,Unnamed: 0,Work_Year,Experience_Level,Employment_Type,Job_Title,Salary,Salary_Currency,Remote_Ratio,Company_Size
0,0,2024,Senior-Level,Full-Time,AI Engineer,90000,USD,0,Large
1,1,2024,Senior-Level,Full-Time,Machine Learning Engineer,180500,USD,0,Medium
2,2,2024,Senior-Level,Full-Time,Machine Learning Engineer,96200,USD,0,Medium
3,3,2024,Senior-Level,Full-Time,Machine Learning Engineer,235000,USD,0,Medium
4,4,2024,Senior-Level,Full-Time,Machine Learning Engineer,175000,USD,0,Medium
5,5,2024,Mid-Level,Full-Time,Business Intelligence Developer,95413,USD,100,Medium
6,6,2024,Mid-Level,Full-Time,Business Intelligence Developer,70692,USD,100,Medium
7,7,2024,Senior-Level,Full-Time,Data Engineer,110000,USD,0,Medium
8,8,2024,Senior-Level,Full-Time,Data Engineer,48000,USD,0,Medium
9,9,2024,Senior-Level,Full-Time,Data Scientist,222300,USD,0,Medium
10,10,2024,Senior-Level,Full-Time,Data Scientist,119700,USD,0,Medium
11,11,2024,Senior-Level,Full-Time,Cloud Database Engineer,170375,USD,100,Medium
12,12,2024,Senior-Level,Full-Time,Cloud Database Engineer,102500,USD,100,Medium
13,13,2024,Senior-Level,Full-Time,Data Engineer,270000,USD,0,Medium
14,14,2024,Senior-Level,Full-Time,Data Engineer,190000,USD,0,Medium
15,15,2024,Mid-Level,Full-Time,Data Engineer,98000,USD,0,Medium
16,16,2024,Mid-Level,Full-Time,Data Engineer,68300,USD,0,Medium
17,17,2024,Mid-Level,Full-Time,Machine Learning Engineer,223100,USD,100,Medium
18,18,2024,Mid-Level,Full-Time,Machine Learning Engineer,126400,USD,100,Medium
19,19,2024,Senior-Level,Full-Time,Data Engineer,283800,USD,100,Medium
20,20,2024,Senior-Level,Full-Time,Data Engineer,198900,USD,100,Medium
21,21,2024,Mid-Level,Full-Time,Research Engineer,166000,USD,0,Medium
22,22,2024,Mid-Level,Full-Time,Research Engineer,73000,USD,0,Medium
23,23,2024,Entry-Level,Full-Time,Data Analyst,130000,USD,0,Medium
24,24,2024,Entry-Level,Full-Time,Data Analyst,100000,USD,0,Medium
25,25,2024,Senior-Level,Full-Time,Machine Learning Scientist,220000,USD,0,Medium
26,26,2024,Senior-Level,Full-Time,Machine Learning Scientist,137500,USD,0,Medium
27,27,2024,Senior-Level,Full-Time,Research Engineer,234000,USD,0,Medium
28,28,2024,Senior-Level,Full-Time,Research Engineer,146000,USD,0,Medium
29,29,2024,Entry-Level,Full-Time,Data Analyst,42641,USD,0,Medium
30,30,2024,Entry-Level,Full-Time,Data Analyst,36180,USD,0,Medium
31,31,2024,Senior-Level,Full-Time,Data Engineer,275000,USD,100,Medium
32,32,2024,Senior-Level,Full-Time,Data Engineer,200000,USD,100,Medium
33,33,2024,Senior-Level,Full-Time,Data Engineer,204000,USD,0,Medium
34,34,2024,Senior-Level,Full-Time,Data Engineer,163200,USD,0,Medium
35,35,2024,Mid-Level,Full-Time,Data Scientist,135000,USD,100,Medium
36,36,2024,Mid-Level,Full-Time,Data Scientist,110000,USD,100,Medium
37,37,2024,Senior-Level,Full-Time,Machine Learning Engineer,195000,USD,100,Medium
38,38,2024,Senior-Level,Full-Time,Machine Learning Engineer,170000,USD,100,Medium
39,39,2024,Mid-Level,Full-Time,Data Engineer,210000,USD,0,Medium
40,40,2024,Mid-Level,Full-Time,Data Engineer,130000,USD,0,Medium
41,41,2024,Mid-Level,Full-Time,Data Scientist,136000,USD,0,Medium
42,42,2024,Mid-Level,Full-Time,Data Scientist,106700,USD,0,Medium
43,43,2024,Mid-Level,Full-Time,Data Scientist,164000,USD,0,Medium
44,44,2024,Mid-Level,Full-Time,Data Scientist,131000,USD,0,Medium
45,45,2024,Mid-Level,Full-Time,Applied Scientist,250000,USD,0,Medium
46,46,2024,Mid-Level,Full-Time,Applied Scientist,170000,USD,0,Medium
47,47,2024,Senior-Level,Full-Time,Data Analyst,175000,USD,0,Medium
48,48,2024,Senior-Level,Full-Time,Data Analyst,117000,USD,0,Medium
49,49,2024,Senior-Level,Full-Time,Data Engineer,205500,USD,100,Medium
50,50,2024,Senior-Level,Full-Time,Data Engineer,135000,USD,100,Medium
51,51,2024,Senior-Level,Full-Time,Data Engineer,146000,USD,0,Medium
52,52,2024,Senior-Level,Full-Time,Data Engineer,82500,USD,0,Medium
53,53,2024,Mid-Level,Full-Time,Data Science Manager,240000,USD,0,Medium
54,54,2024,Mid-Level,Full-Time,Data Science Manager,180000,USD,0,Medium
55,55,2024,Senior-Level,Full-Time,Data Analyst,157500,USD,100,Medium
56,56,2024,Senior-Level,Full-Time,Data Analyst,132500,USD,100,Medium
57,57,2024,Senior-Level,Full-Time,Data Engineer,209943,USD,0,Medium
58,58,2024,Senior-Level,Full-Time,Data Engineer,155175,USD,0,Medium
59,59,2024,Senior-Level,Full-Time,Data Scientist,244800,USD,0,Medium
60,60,2024,Senior-Level,Full-Time,Data Scientist,172000,USD,0,Medium
61,61,2024,Senior-Level,Full-Time,Research Scientist,250000,USD,0,Medium
62,62,2024,Senior-Level,Full-Time,Research Scientist,200000,USD,0,Medium
63,63,2024,Senior-Level,Full-Time,Research Scientist,600000,USD,0,Medium
64,64,2024,Senior-Level,Full-Time,Research Scientist,280000,USD,0,Medium
65,65,2024,Senior-Level,Full-Time,Prompt Engineer,600000,USD,0,Medium
66,66,2024,Senior-Level,Full-Time,Prompt Engineer,280000,USD,0,Medium
67,67,2024,Senior-Level,Full-Time,Data Science,180000,USD,0,Medium
68,68,2024,Senior-Level,Full-Time,Data Science,160000,USD,0,Medium
69,69,2024,Entry-Level,Full-Time,Data Analyst,184180,USD,0,Medium
70,70,2024,Entry-Level,Full-Time,Data Analyst,159870,USD,0,Medium
71,71,2024,Senior-Level,Full-Time,Data Scientist,195000,USD,0,Medium
72,72,2024,Senior-Level,Full-Time,Data Scientist,110000,USD,0,Medium
73,73,2024,Senior-Level,Full-Time,Research Scientist,500000,USD,100,Medium
74,74,2024,Senior-Level,Full-Time,Research Scientist,180000,USD,100,Medium
75,75,2024,Senior-Level,Full-Time,Data Scientist,220000,USD,0,Medium
76,76,2024,Senior-Level,Full-Time,Data Scientist,137500,USD,0,Medium
77,77,2024,Senior-Level,Full-Time,AI Engineer,212000,USD,0,Medium
78,78,2024,Senior-Level,Full-Time,AI Engineer,93300,USD,0,Medium
79,79,2024,Senior-Level,Full-Time,Data Scientist,212000,USD,0,Medium
80,80,2024,Senior-Level,Full-Time,Data Scientist,93300,USD,0,Medium
81,81,2024,Entry-Level,Full-Time,Data Analyst,291900,USD,0,Medium
82,82,2024,Entry-Level,Full-Time,Data Analyst,103800,USD,0,Medium
83,83,2024,Senior-Level,Full-Time,Data Science,234000,USD,0,Medium
84,84,2024,Senior-Level,Full-Time,Data Science,146000,USD,0,Medium
85,87,2024,Mid-Level,Full-Time,Data Science Consultant,160000,USD,100,Medium
86,88,2024,Mid-Level,Full-Time,Data Science Consultant,70000,USD,100,Medium
87,89,2024,Senior-Level,Full-Time,Research Engineer,179000,USD,0,Medium
88,90,2024,Senior-Level,Full-Time,Research Engineer,112000,USD,0,Medium
89,91,2024,Entry-Level,Full-Time,Data Management Analyst,145000,USD,0,Medium
90,92,2024,Entry-Level,Full-Time,Data Management Analyst,120000,USD,0,Medium
91,93,2024,Mid-Level,Full-Time,Data Scientist,142100,USD,0,Medium
92,94,2024,Mid-Level,Full-Time,Data Scientist,94700,USD,0,Medium
93,95,2024,Mid-Level,Full-Time,AI Engineer,166000,USD,0,Medium
94,96,2024,Mid-Level,Full-Time,AI Engineer,73100,USD,0,Medium
95,97,2024,Senior-Level,Full-Time,Data Science Consultant,145000,USD,0,Medium
96,98,2024,Senior-Level,Full-Time,Data Science Consultant,128000,USD,0,Medium
97,99,2024,Entry-Level,Full-Time,Data Analyst,90000,USD,0,Medium
98,100,2024,Entry-Level,Full-Time,Data Analyst,75000,USD,0,Medium
99,101,2024,Mid-Level,Full-Time,Data Scientist,99000,USD,0,Medium
100,102,2024,Mid-Level,Full-Time,Data Scientist,87000,USD,0,Medium
101,103,2024,Executive-Level,Full-Time,Data Engineer,334075,USD,0,Medium
102,104,2024,Executive-Level,Full-Time,Data Engineer,268500,USD,0,Medium
103,105,2024,Senior-Level,Full-Time,Data Scientist,230000,USD,0,Medium
104,107,2024,Senior-Level,Full-Time,Research Analyst,212000,USD,0,Medium
105,108,2024,Senior-Level,Full-Time,Research Analyst,93300,USD,0,Medium
106,109,2024,Entry-Level,Full-Time,Data Operations Analyst,110500,USD,0,Medium
107,110,2024,Entry-Level,Full-Time,Data Operations Analyst,69000,USD,0,Medium
108,111,2024,Senior-Level,Full-Time,Data Management Consultant,100000,USD,0,Medium
109,112,2024,Senior-Level,Full-Time,Data Management Consultant,85000,USD,0,Medium
110,113,2024,Mid-Level,Full-Time,Business Intelligence Analyst,107690,USD,0,Medium
111,114,2024,Mid-Level,Full-Time,Business Intelligence Analyst,78300,USD,0,Medium
112,115,2024,Entry-Level,Full-Time,Analytics Engineer,131000,USD,100,Medium
113,116,2024,Entry-Level,Full-Time,Analytics Engineer,110000,USD,100,Medium
114,117,2024,Entry-Level,Full-Time,Data Analyst,133000,USD,0,Medium
115,118,2024,Entry-Level,Full-Time,Data Analyst,58400,USD,0,Medium
116,119,2024,Entry-Level,Full-Time,Data Engineer,115000,USD,100,Medium
117,120,2024,Entry-Level,Full-Time,Data Engineer,87550,USD,100,Medium
118,121,2024,Executive-Level,Full-Time,Data Engineer,209309,USD,0,Medium
119,122,2024,Executive-Level,Full-Time,Data Engineer,168854,USD,0,Medium
120,123,2024,Entry-Level,Full-Time,Research Analyst,133000,USD,0,Medium
121,124,2024,Entry-Level,Full-Time,Research Analyst,58400,USD,0,Medium
122,125,2024,Senior-Level,Full-Time,Data Scientist,269000,USD,0,Medium
123,126,2024,Senior-Level,Full-Time,Data Scientist,165000,USD,0,Medium
124,127,2024,Senior-Level,Full-Time,Data Scientist,245000,USD,0,Medium
125,128,2024,Senior-Level,Full-Time,Data Scientist,185000,USD,0,Medium
126,129,2024,Senior-Level,Full-Time,Research Scientist,333500,USD,0,Medium
127,130,2024,Senior-Level,Full-Time,Research Scientist,180000,USD,0,Medium
128,131,2024,Senior-Level,Full-Time,Data Scientist,195000,USD,100,Medium
129,132,2024,Senior-Level,Full-Time,Data Scientist,147500,USD,100,Medium
130,133,2024,Entry-Level,Full-Time,Machine Learning Engineer,187500,USD,0,Medium
131,134,2024,Entry-Level,Full-Time,Machine Learning Engineer,99500,USD,0,Medium
132,135,2024,Senior-Level,Full-Time,Analytics Engineer,126400,USD,100,Medium
133,136,2024,Senior-Level,Full-Time,Analytics Engineer,101100,USD,100,Medium
134,137,2024,Senior-Level,Full-Time,Data Engineer,167400,USD,100,Medium
135,138,2024,Senior-Level,Full-Time,Data Engineer,116600,USD,100,Medium
136,139,2024,Senior-Level,Full-Time,Data Analyst,126000,USD,0,Medium
137,140,2024,Senior-Level,Full-Time,Data Analyst,87000,USD,0,Medium
138,141,2024,Senior-Level,Full-Time,Data Engineer,152375,USD,100,Medium
139,142,2024,Senior-Level,Full-Time,Data Engineer,94000,USD,100,Medium
140,143,2024,Senior-Level,Full-Time,Data Quality Analyst,100630,USD,0,Medium
141,144,2024,Senior-Level,Full-Time,Data Quality Analyst,56604,USD,0,Medium
142,145,2024,Senior-Level,Full-Time,Data Architect,276000,USD,0,Medium
143,146,2024,Senior-Level,Full-Time,Data Architect,174000,USD,0,Medium
144,147,2024,Entry-Level,Full-Time,Data Analyst,113800,USD,100,Medium
145,148,2024,Entry-Level,Full-Time,Data Analyst,74400,USD,100,Medium
146,149,2024,Senior-Level,Full-Time,Machine Learning Engineer,333500,USD,0,Medium
147,150,2024,Senior-Level,Full-Time,Machine Learning Engineer,183000,USD,0,Medium
148,151,2024,Senior-Level,Full-Time,Machine Learning Engineer,260000,USD,0,Medium
149,152,2024,Senior-Level,Full-Time,Machine Learning Engineer,192000,USD,0,Medium
150,153,2024,Entry-Level,Full-Time,Data Analyst,158000,USD,0,Medium
151,154,2024,Entry-Level,Full-Time,Data Analyst,105000,USD,0,Medium
152,155,2024,Senior-Level,Full-Time,Data Scientist,148000,USD,0,Medium
153,157,2024,Mid-Level,Full-Time,Data Manager,128000,USD,0,Medium
154,158,2024,Mid-Level,Full-Time,Data Manager,81500,USD,0,Medium
155,159,2024,Senior-Level,Full-Time,Data Analyst,115000,USD,0,Medium
156,160,2024,Senior-Level,Full-Time,Data Analyst,75300,USD,0,Medium
157,161,2024,Mid-Level,Full-Time,Data Scientist,140000,USD,100,Medium
158,162,2024,Mid-Level,Full-Time,Data Scientist,100000,USD,100,Medium
159,163,2024,Mid-Level,Full-Time,ML Engineer,240000,USD,0,Medium
160,164,2024,Mid-Level,Full-Time,ML Engineer,140000,USD,0,Medium
161,165,2024,Mid-Level,Full-Time,Applied Scientist,222200,USD,0,Large
162,166,2024,Mid-Level,Full-Time,Applied Scientist,136000,USD,0,Large
163,167,2024,Mid-Level,Full-Time,Data Scientist,187200,USD,0,Medium
164,168,2024,Mid-Level,Full-Time,Data Scientist,100800,USD,0,Medium
165,169,2024,Senior-Level,Full-Time,Data Engineer,153200,USD,100,Medium
166,170,2024,Senior-Level,Full-Time,Data Engineer,102200,USD,100,Medium
167,171,2024,Senior-Level,Full-Time,Robotics Software Engineer,240000,USD,0,Medium
168,172,2024,Senior-Level,Full-Time,Robotics Software Engineer,160000,USD,0,Medium
169,173,2024,Mid-Level,Full-Time,Data Analyst,105000,USD,0,Medium
170,174,2024,Mid-Level,Full-Time,Data Analyst,77000,USD,0,Medium
171,175,2024,Senior-Level,Full-Time,Data Engineer,207300,USD,0,Medium
172,176,2024,Senior-Level,Full-Time,Data Engineer,119000,USD,0,Medium
173,177,2024,Mid-Level,Full-Time,Machine Learning Engineer,160000,USD,100,Medium
174,178,2024,Mid-Level,Full-Time,Machine Learning Engineer,130000,USD,100,Medium
175,179,2024,Senior-Level,Full-Time,Machine Learning Engineer,155000,USD,0,Medium
176,180,2024,Senior-Level,Full-Time,Machine Learning Engineer,125000,USD,0,Medium
177,181,2024,Executive-Level,Full-Time,Machine Learning Engineer,265000,USD,0,Medium
178,182,2024,Executive-Level,Full-Time,Machine Learning Engineer,203800,USD,0,Medium
179,183,2024,Senior-Level,Full-Time,Data Analyst,135000,USD,0,Medium
180,184,2024,Senior-Level,Full-Time,Data Analyst,105000,USD,0,Medium
181,185,2024,Senior-Level,Full-Time,Analytics Engineer,345400,USD,0,Medium
182,186,2024,Senior-Level,Full-Time,Analytics Engineer,272700,USD,0,Medium
183,187,2024,Mid-Level,Full-Time,Robotics Software Engineer,198000,USD,0,Medium
184,188,2024,Mid-Level,Full-Time,Robotics Software Engineer,160000,USD,0,Medium
185,189,2024,Senior-Level,Full-Time,Data Engineer,198000,USD,0,Medium
186,190,2024,Senior-Level,Full-Time,Data Engineer,180000,USD,0,Medium
187,191,2024,Senior-Level,Full-Time,Data Analyst,100000,USD,0,Medium
188,192,2024,Senior-Level,Full-Time,Data Analyst,80000,USD,0,Medium
189,193,2024,Senior-Level,Full-Time,ML Engineer,250000,USD,0,Medium
190,194,2024,Senior-Level,Full-Time,ML Engineer,200000,USD,0,Medium
191,195,2024,Senior-Level,Full-Time,Data Scientist,155000,USD,0,Medium
192,196,2024,Senior-Level,Full-Time,Data Scientist,139500,USD,0,Medium
193,197,2024,Senior-Level,Full-Time,Data Architect,160000,USD,0,Medium
194,198,2024,Senior-Level,Full-Time,Data Architect,110000,USD,0,Medium
195,199,2024,Senior-Level,Full-Time,Research Scientist,247600,USD,0,Large
196,200,2024,Senior-Level,Full-Time,Research Scientist,127300,USD,0,Large
197,201,2024,Senior-Level,Full-Time,Data Scientist,191500,USD,0,Medium
198,202,2024,Senior-Level,Full-Time,Data Scientist,111500,USD,0,Medium
199,203,2024,Senior-Level,Full-Time,Data Scientist,204800,USD,0,Medium
200,204,2024,Senior-Level,Full-Time,Data Scientist,115800,USD,0,Medium
201,205,2024,Senior-Level,Full-Time,Data Science Consultant,116000,USD,0,Medium
202,206,2024,Senior-Level,Full-Time,Data Science Consultant,90000,USD,0,Medium
203,207,2024,Senior-Level,Full-Time,Data Scientist,206000,USD,100,Medium
204,208,2024,Senior-Level,Full-Time,Data Scientist,140250,USD,100,Medium
205,209,2024,Senior-Level,Full-Time,Applied Scientist,225000,USD,0,Medium
206,210,2024,Mid-Level,Full-Time,Data Scientist,190000,USD,100,Medium
207,211,2024,Mid-Level,Full-Time,Data Scientist,175000,USD,100,Medium
208,212,2024,Entry-Level,Full-Time,Data Analyst,84105,USD,0,Medium
209,213,2024,Entry-Level,Full-Time,Data Analyst,76095,USD,0,Medium
210,214,2024,Senior-Level,Full-Time,Machine Learning Engineer,250000,USD,0,Medium
211,215,2024,Senior-Level,Full-Time,Machine Learning Engineer,140000,USD,0,Medium
212,216,2024,Senior-Level,Full-Time,Data Engineer,140000,USD,100,Medium
213,217,2024,Senior-Level,Full-Time,Data Engineer,100000,USD,100,Medium
214,218,2024,Senior-Level,Full-Time,Machine Learning Researcher,250800,USD,0,Medium
215,219,2024,Senior-Level,Full-Time,Machine Learning Researcher,167200,USD,0,Medium
216,220,2024,Mid-Level,Full-Time,Data Engineer,165000,USD,100,Medium
217,221,2024,Mid-Level,Full-Time,Data Engineer,140250,USD,100,Medium
218,223,2024,Mid-Level,Full-Time,Data Scientist,90000,USD,100,Medium
219,224,2024,Mid-Level,Full-Time,Research Scientist,300000,USD,0,Medium
220,225,2024,Mid-Level,Full-Time,Research Scientist,200000,USD,0,Medium
221,227,2024,Senior-Level,Full-Time,Data Scientist,104603,USD,0,Medium
222,228,2024,Senior-Level,Full-Time,Data Scientist,279000,USD,100,Medium
223,229,2024,Senior-Level,Full-Time,Data Scientist,183000,USD,100,Medium
224,230,2024,Mid-Level,Full-Time,Data Scientist,252000,USD,0,Medium
225,231,2024,Mid-Level,Full-Time,Data Scientist,168000,USD,0,Medium
226,232,2024,Senior-Level,Full-Time,Data Analyst,96600,USD,0,Medium
227,233,2024,Senior-Level,Full-Time,Data Analyst,55200,USD,0,Medium
228,234,2024,Entry-Level,Full-Time,Data Analyst,73756,USD,0,Medium
229,235,2024,Entry-Level,Full-Time,Data Analyst,61463,USD,0,Medium
230,236,2024,Senior-Level,Full-Time,Data Engineer,130000,USD,0,Medium
231,237,2024,Senior-Level,Full-Time,Data Engineer,100000,USD,0,Medium
232,238,2024,Mid-Level,Full-Time,Data Engineer,167500,USD,0,Medium
233,239,2024,Mid-Level,Full-Time,Data Engineer,106500,USD,0,Medium
234,240,2024,Mid-Level,Full-Time,Analytics Engineer,126000,USD,0,Medium
235,241,2024,Mid-Level,Full-Time,Analytics Engineer,78000,USD,0,Medium
236,242,2024,Mid-Level,Full-Time,AI Architect,800000,USD,100,Medium
237,243,2023,Entry-Level,Full-Time,Data DevOps Engineer,47791,USD,50,Large
238,244,2024,Entry-Level,Full-Time,Data Analyst,43180,USD,0,Medium
