,Work_Year,Experience_Level,Employment_Type,Job_Title,Salary,Salary_Currency,Remote_Ratio,Company_Size
0,2024,Senior-Level,Full-Time,AI Engineer,90000,USD,0,Large
1,2024,Senior-Level,Full-Time,Machine Learning Engineer,180500,USD,0,Medium
2,2024,Senior-Level,Full-Time,Machine Learning Engineer,96200,USD,0,Medium
3,2024,Senior-Level,Full-Time,Machine Learning Engineer,235000,USD,0,Medium
4,2024,Senior-Level,Full-Time,Machine Learning Engineer,175000,USD,0,Medium
5,2024,Mid-Level,Full-Time,Business Intelligence Developer,95413,USD,100,Medium
6,2024,Mid-Level,Full-Time,Business Intelligence Developer,70692,USD,100,Medium
7,2024,Senior-Level,Full-Time,Data Engineer,110000,USD,0,Medium
8,2024,Senior-Level,Full-Time,Data Engineer,48000,USD,0,Medium
9,2024,Senior-Level,Full-Time,Data Scientist,222300,USD,0,Medium
10,2024,Senior-Level,Full-Time,Data Scientist,119700,USD,0,Medium
11,2024,Senior-Level,Full-Time,Cloud Database Engineer,170375,USD,100,Medium
12,2024,Senior-Level,Full-Time,Cloud Database Engineer,102500,USD,100,Medium
13,2024,Senior-Level,Full-Time,Data Engineer,270000,USD,0,Medium
14,2024,Senior-Level,Full-Time,Data Engineer,190000,USD,0,Medium
15,2024,Mid-Level,Full-Time,Data Engineer,98000,USD,0,Medium
16,2024,Mid-Level,Full-Time,Data Engineer,68300,USD,0,Medium
17,2024,Mid-Level,Full-Time,Machine Learning Engineer,223100,USD,100,Medium
18,2024,Mid-Level,Full-Time,Machine Learning Engineer,126400,USD,100,Medium
19,2024,Senior-Level,Full-Time,Data Engineer,283800,USD,100,Medium
20,2024,Senior-Level,Full-Time,Data Engineer,198900,USD,100,Medium
21,2024,Mid-Level,Full-Time,Research Engineer,166000,USD,0,Medium
22,2024,Mid-Level,Full-Time,Research Engineer,73000,USD,0,Medium
23,2024,Entry-Level,Full-Time,Data Analyst,130000,USD,0,Medium
24,2024,Entry-Level,Full-Time,Data Analyst,100000,USD,0,Medium
25,2024,Senior-Level,Full-Time,Machine Learning Scientist,220000,USD,0,Medium
26,2024,Senior-Level,Full-Time,Machine Learning Scientist,137500,USD,0,Medium
27,2024,Senior-Level,Full-Time,Research Engineer,234000,USD,0,Medium
28,2024,Senior-Level,Full-Time,Research Engineer,146000,USD,0,Medium
29,2024,Entry-Level,Full-Time,Data Analyst,39600,EUR,0,Medium
30,2024,Entry-Level,Full-Time,Data Analyst,33600,EUR,0,Medium
31,2024,Senior-Level,Full-Time,Data Engineer,275000,USD,100,Medium
32,2024,Senior-Level,Full-Time,Data Engineer,200000,USD,100,Medium
33,2024,Senior-Level,Full-Time,Data Engineer,204000,USD,0,Medium
34,2024,Senior-Level,Full-Time,Data Engineer,163200,USD,0,Medium
35,2024,Mid-Level,Full-Time,Data Scientist,135000,USD,100,Medium
36,2024,Mid-Level,Full-Time,Data Scientist,110000,USD,100,Medium
37,2024,Senior-Level,Full-Time,Machine Learning Engineer,195000,USD,100,Medium
38,2024,Senior-Level,Full-Time,Machine Learning Engineer,170000,USD,100,Medium
39,2024,Mid-Level,Full-Time,Data Engineer,210000,USD,0,Medium
40,2024,Mid-Level,Full-Time,Data Engineer,130000,USD,0,Medium
41,2024,Mid-Level,Full-Time,Data Scientist,136000,USD,0,Medium
42,2024,Mid-Level,Full-Time,Data Scientist,106700,USD,0,Medium
43,2024,Mid-Level,Full-Time,Data Scientist,164000,USD,0,Medium
44,2024,Mid-Level,Full-Time,Data Scientist,131000,USD,0,Medium
45,2024,Mid-Level,Full-Time,Applied Scientist,250000,USD,0,Medium
