,Title,Release Year,Age Restriction,Duration,Genre,Rating,Number of Votes,Meta Score,Language,Country of Origin,Companies,Budget,Gross (worldwide)
0,The Shawshank Redemption,1994,R,2h 22m,Drama,9.3,2.9M,82,English,United States,Castle Rock Entertainment,"$25,000,000","$28,906,619"
1,The Dark Knight,2008,PG-13,2h 32m,Action~Crime~Drama,9.0,2.9M,84,English~Mandarin,United States~United Kingdom,Warner Bros.~Legendary Entertainment~Syncopy,"$185,000,000","$1,008,486,720"
2,Inception,2010,PG-13,2h 28m,Action~Adventure~Sci-Fi,8.8,2.5M,74,English~Japanese~French,United States~United Kingdom,Warner Bros.~Legendary Entertainment~Syncopy,"$160,000,000","$839,030,630"
3,Fight Club,1999,R,2h 19m,Drama,8.8,2.3M,67,English,Germany~United States,Fox 2000 Pictures~New Regency Productions~Linson Films,"$63,000,000","$101,320,107"
4,Forrest Gump,1994,PG-13,2h 22m,Drama~Romance,8.8,2.3M,82,English,United States,Paramount Pictures~The Steve Tisch Company~Wendy Finerman Productions,"$55,000,000","$678,226,465"
5,Pulp Fiction,1994,R,2h 34m,Crime~Drama,8.9,2.2M,95,English~Spanish~French,United States,Miramax~A Band Apart~Jersey Films,"$8,000,000","$213,928,762"
6,Interstellar,2014,PG-13,2h 49m,Adventure~Drama~Sci-Fi,8.7,2.1M,74,English,United States~United Kingdom~Canada,Paramount Pictures~Warner Bros.~Legendary Entertainment,"$165,000,000","$733,202,212"
7,The Matrix,1999,R,2h 16m,Action~Sci-Fi,8.7,2.1M,73,English,United States~Australia,Warner Bros.~Village Roadshow Pictures~Groucho Film Partnership,"$63,000,000","$467,623,299"
8,The Godfather,1972,R,2h 55m,Crime~Drama,9.2,2M,100,English~Italian~Latin,United States,Paramount Pictures~Albert S. Ruddy Productions~Alfran Productions,"$6,000,000","$250,342,030"
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,Action~Adventure~Drama,8.9,2M,92,English~Sindarin,New Zealand~United States,New Line Cinema~WingNut Films~Marzano Films,"$93,000,000","$884,041,698"
10,The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,Action~Adventure~Drama,9.0,2M,94,English~Quenya~Old English~Sindarin,New Zealand~United States,New Line Cinema~WingNut Films~The Saul Zaentz Company,"$94,000,000","$1,156,600,472"
11,The Dark Knight Rises,2012,PG-13,2h 44m,Action~Drama~Thriller,8.4,1.8M,78,English~Arabic,United States~United Kingdom,Warner Bros.~Legendary Entertainment~DC Entertainment,"$250,000,000","$1,085,289,416"
12,Se7en,1995,R,2h 7m,Crime~Drama~Mystery,8.6,1.8M,65,English,United States,Cecchi Gori Pictures~Juno Pix~New Line Cinema,"$33,000,000","$327,333,559"
13,The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,Action~Adventure~Drama,8.8,1.8M,87,English~Sindarin~Old English,New Zealand~United States,New Line Cinema~WingNut Films~The Saul Zaentz Company,"$94,000,000","$948,945,489"
14,Django Unchained,2012,R,2h 45m,Drama~Western,8.5,1.7M,81,English~German~French~Italian,United States,The Weinstein Company~Columbia Pictures,"$100,000,000","$426,076,293"
15,Gladiator,2000,R,2h 35m,Action~Adventure~Drama,8.5,1.6M,67,English,United States~United Kingdom~Malta~Morocco,Dreamworks Pictures~Universal Pictures~Scott Free Productions,"$103,000,000","$465,387,186"
16,Inglourious Basterds,2009,R,2h 33m,Adventure~Drama~War,8.4,1.6M,69,English~German~French~Italian,Germany~United States,Universal Pictures~The Weinstein Company~A Band Apart,"$70,000,000","$321,458,605"
17,The Wolf of Wall Street,2013,R,3h,Biography~Comedy~Crime,8.2,1.6M,75,English~French,United States,Red Granite Pictures~Appian Way~Sikelia Productions,"$100,000,000","$407,039,432"
18,Batman Begins,2005,PG-13,2h 20m,Action~Crime~Drama,8.2,1.6M,70,English~Mandarin,United States~United Kingdom,Warner Bros.~Syncopy~DC Comics,"$150,000,000","$375,325,692"
19,The Silence of the Lambs,1991,R,1h 58m,Crime~Drama~Thriller,8.6,1.5M,86,English~Latin,United States,Strong Heart/Demme Production~Orion Pictures,"$19,000,000","$272,742,922"
20,Saving Private Ryan,1998,R,2h 49m,Drama~War,8.6,1.5M,91,English~French~German~Czech,United States,Dreamworks Pictures~Paramount Pictures~Amblin Entertainment,"$70,000,000","$482,351,251"
21,Joker,2019,R,2h 2m,Crime~Drama~Thriller,8.4,1.5M,59,English~German,United States~Canada~Australia,Warner Bros.~Village Roadshow Pictures~BRON Studios,"$55,000,000","$1,078,958,629"
22,The Avengers,2012,PG-13,2h 23m,Action~Sci-Fi,8.0,1.5M,69,English~Russian,United States,Marvel Studios~Paramount Pictures,"$220,000,000","$1,520,538,536"
23,Shutter Island,2010,R,2h 18m,Drama~Mystery~Thriller,8.2,1.5M,63,English~German,United States,Paramount Pictures~Phoenix Pictures~Sikelia Productions,"$80,000,000","$294,850,027"
24,Schindler's List,1993,R,3h 15m,Biography~Drama~History,9.0,1.4M,95,English~Hebrew~German~Polish~Latin,United States,Universal Pictures~Amblin Entertainment,"$22,000,000","$322,161,245"
25,Star Wars: Episode IV - A New Hope,1977,PG,2h 1m,Action~Adventure~Fantasy,8.6,1.4M,90,English,United States,Lucasfilm~Twentieth Century Fox,"$11,000,000","$775,398,507"
26,The Prestige,2006,PG-13,2h 10m,Drama~Mystery~Sci-Fi,8.5,1.4M,66,English,United Kingdom~United States,Touchstone Pictures~Warner Bros.~Newmarket Films,"$40,000,000","$109,676,311"
27,The Departed,2006,R,2h 31m,Crime~Drama~Thriller,8.5,1.4M,85,English~Cantonese,United States~Hong Kong,Warner Bros.~Plan B Entertainment~Initial Entertainment Group (IEG),"$90,000,000","$291,481,358"
28,The Green Mile,1999,R,3h 9m,Crime~Drama~Fantasy,8.6,1.4M,61,English~French,United States,Castle Rock Entertainment~Darkwoods Productions~Warner Bros.,"$60,000,000","$286,801,374"
29,Avatar,2009,PG-13,2h 42m,Action~Adventure~Fantasy,7.9,1.4M,83,English~Spanish,United States,Twentieth Century Fox~Dune Entertainment~Lightstorm Entertainment,"$237,000,000","$2,923,706,026"
30,Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,Action~Adventure~Fantasy,8.7,1.4M,82,English,United States,Lucasfilm,"$18,000,000","$538,375,067"
31,The Godfather Part II,1974,R,3h 22m,Crime~Drama,9.0,1.4M,90,English~Italian~Spanish~Latin~Sicilian,United States,Paramount Pictures~The Coppola Company~American Zoetrope,"$13,000,000","$47,962,897"
32,Memento,2000,R,1h 53m,Mystery~Thriller,8.4,1.3M,83,English,United States,Newmarket Capital Group~Team Todd~I Remember Productions,"$9,000,000","$40,047,236"
33,Back to the Future,1985,PG,1h 56m,Adventure~Comedy~Sci-Fi,8.5,1.3M,87,English,United States,Universal Pictures~Amblin Entertainment~U-Drive Productions,"$19,000,000","$384,577,472"
