Hash,Block,Age,From,To,Value,Txn Fee
0xb621784865ceb06b2caf637c4f80d9a592f4cd9d3c85f040c9d417e577acaef7,19333285,7 secs ago,Binance 18,0x1E722331...2fb5dD962,0.0104 ETH,0.00170069
0x01bebb1488120f69e9c55a5b3bf7e5e30e9466d20f816fd63d03c940169b2d17,19333285,7 secs ago,Binance 16,Circle: USDC Token,0 ETH,0.00365729
0x1decbdc7fc281a21bb72014efa67a7a747f1c8d6f15bfe2679ecbafe4df0d6fc,19333285,7 secs ago,Binance 16,0xD37B423B...E1d47Cb90,0.0117 ETH,0.00170069
0xfe0c800e3e7f1f0ef7149a084e1d4073b2f74ef8d230936bdfe014a1f50033b1,19333285,7 secs ago,Binance 15,0xBAa4a774...1Ffb37d47,0.01421901 ETH,0.00170069
0xc257cc9087df6c146d4f9d6b721fcee4a7a92e37599aea977a9c990415ca4c66,19333285,7 secs ago,Bybit: Hot Wallet,Fetch.ai: FET Token,0 ETH,0.00298463
0xfc2ffad47981e96ef35bfeff8c8c5c1df0865afa52ae41d4b912ae01480b21e1,19333285,7 secs ago,Bybit: Hot Wallet,0x54620B9A...6a9C69FeB,0.81103943 ETH,0.00170069
0x10e8569a6c5f6bd52748eb5529e0d492156a469d08c4385b5fcb281c788d92a2,19333285,7 secs ago,Coinbase 14,0x30973CBE...65Ce50632,0.005489218 ETH,0.00167969
0xbef2f0e6f49ca50e7b87bb8501bf24247b8fb0fe3123b4413f591ed2ae0e8626,19333285,7 secs ago,Coinbase 14,0x8839773b...43d476043,0.005708787 ETH,0.00167969
0x6780fe85351f809fba388180bb44af40b205eabe5db0616feb3762ac15e8e7f4,19333285,7 secs ago,Coinbase 4,0xd6306279...fdCD7CF2c,0.00201245 ETH,0.00167969
0x45560becafb1c80fdc383312965fa42e088e08948236bbcee3d08ebebe337964,19333285,7 secs ago,Coinbase 4,0xb85596D6...FdF1d1E2a,0.13374075 ETH,0.00167969
